Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;;;;
KB;70417; St.Ulrich/Pillersee   ;110.909;121.065;118.335;116.995;119.079;117.953;111.688;103.252;101.159;99.453;92.024;86.878;95.441;95.842;90.337;88.769;87.815;77.707;88.842;83.358;69.845;1.894;52.042;60.745;;;;;
KB;70418; Schwendt              ;15.380;16.824;18.086;18.655;20.332;25.423;23.325;21.653;19.448;20.708;20.077;20.245;19.694;19.629;16.046;18.282;20.581;19.261;21.717;21.483;20.198;0;14.680;17.321;;;;;
KB;70419; Waidring              ;124.915;128.143;133.485;131.300;126.094;120.827;114.461;101.291;107.587;118.641;105.113;92.964;103.076;113.352;101.397;106.579;107.693;104.077;110.552;108.191;96.249;1.175;83.763;97.994;;;;;
KB;70420; Westendorf            ;250.400;253.644;256.210;254.140;258.083;271.056;273.927;247.923;263.312;269.357;265.306;270.467;268.947;275.546;267.505;265.993;295.974;283.344;309.266;308.157;280.118;2.241;255.138;310.645;;;;;
KU;70501; Alpbach               ;149.432;154.999;167.942;167.373;169.315;173.822;186.025;176.957;191.165;187.245;200.595;193.462;193.562;215.527;195.204;195.850;219.031;216.733;232.794;215.313;189.970;1.583;190.555;208.019;;;;;
KU;70502; Angath                ;9.108;9.290;10.580;10.296;10.285;10.445;10.842;10.480;10.461;10.880;10.583;9.727;9.238;8.732;8.513;6.408;3.832;3.774;4.911;7.075;5.169;227;2.786;3.742;;;;;
KU;70503; Bad Häring            ;51.030;66.627;78.280;83.623;79.493;78.187;80.804;82.538;83.706;84.131;87.327;81.965;89.394;90.244;90.116;90.548;94.363;98.765;101.290;99.436;80.946;28.397;62.723;83.085;;;;;
KU;70504; Brandenberg           ;12.932;12.042;11.829;11.330;12.993;13.290;13.291;11.938;12.244;11.857;11.584;9.383;9.287;9.660;9.980;9.747;10.427;11.750;10.961;9.926;9.287;148;5.860;8.993;;;;;
KU;70505; Breitenbach am Inn    ;16.664;20.029;20.570;22.803;23.721;22.323;21.528;22.619;21.978;22.023;18.735;18.485;19.536;23.023;20.884;21.641;24.512;24.317;24.919;25.172;22.106;4.123;18.230;26.349;;;;;
KU;70506; Brixlegg              ;26.633;28.875;29.028;27.157;28.267;30.792;28.422;16.303;16.819;17.662;17.585;19.518;23.043;21.653;21.151;19.841;21.109;17.917;17.663;19.791;16.921;987;4.700;9.586;;;;;
KU;70508; Ebbs                  ;35.515;40.446;43.460;48.529;50.518;50.134;49.994;46.391;47.475;44.959;41.215;38.883;47.805;46.910;45.256;44.279;46.545;48.438;47.610;45.147;40.847;10.062;36.240;47.864;;;;;
KU;70509; Ellmau                ;343.012;341.708;358.195;357.611;359.367;384.275;372.038;332.913;356.731;345.139;347.066;331.993;351.040;369.200;347.282;354.227;377.097;351.402;386.955;407.818;375.732;3.380;347.916;370.001;;;;;
KU;70510; Erl                   ;4.464;5.032;3.800;5.218;4.570;6.851;7.210;7.142;7.529;6.331;5.971;6.949;11.927;9.085;11.500;11.532;11.338;12.015;15.353;17.396;13.852;5.057;13.242;17.873;;;;;
KU;70511; Kirchbichl            ;16.098;14.556;16.816;14.971;15.455;18.052;17.264;16.149;16.066;15.917;15.055;15.853;16.164;14.548;15.598;11.023;12.048;12.469;14.597;13.425;11.983;3.551;9.545;9.697;;;;;
